Date,Review,Score
"May 28, 2020","This was the worst movie I've ever seen. Do not watch it. It's right up there with ""The Room"". This is 2 hours of your life you will never get back",NEGATIVE
"May 28, 2020",Hass to be the worst movie that I have to see in 2020. I regret it for a long time missing out on this movie in the theater because I was hoping to see Adam Sandler in a very exciting role. But now I'm glad I waited to watch on Netflix and I'm pissed off that I wasted two hours of my life to this movie. I think I would've lived a better life now if I did not watch it. Adam Sandler would've been better if he did another Comedy. This movie is a sick joke.,NEGATIVE
"May 28, 2020","I barely made it halfway through this tripe before turning it off, the whole time I was waiting for something meaningful to happen. If I wanted to watch someone struggle through life with money and terrible choices I'd film myself. Adam Sandler has never and will never be entertaining in a serious role.",NEGATIVE
"May 28, 2020","This movie was awful, and I'm a big Adam Sandler fan usually.",NEGATIVE
"May 28, 2020",I can get similar suspense watching Maury on weekdays during my lunch break.  Don't waste your time.,NEGATIVE
"May 27, 2020",Very high-paced and filled with back-and-forth excitement! I came out of it surprisingly pleased! Adam Sandler nails the role!,POSITIVE
"May 27, 2020",WORST MOVIE EVER!!!!! There is no way any sensible person could think otherwise,NEGATIVE
"May 27, 2020","Adam Sandler made an awesome flick, and acted one better...

Great movie",POSITIVE
"May 27, 2020","Sandler needs to stick with comedies. Every serious style he has made has been unwatchable. This one is no different. Love him but please, enough with you trying to be serious.",NEGATIVE
"May 27, 2020",Movie story line drags! Acting is pretty bad ,NEGATIVE
"May 27, 2020","That was a good movie. I had a long, pithy film-critic review ready to post, but I'm just going with ""This was a good movie.""",NEUTRAL
"May 27, 2020",This movie is one of the biggest Oscar snubs in recent memory. Adam Sandler has such a understanding of this character and the direction this movie goes and the journey it takes you on is phenomenal.,POSITIVE
"May 27, 2020","This movie is what film fans love. A film that gets you inside of the character's head, the way they feel and takes you on a ride with them. Sadler gives an amazing performance and the directing, sound design, soundtrack, side characters, and editing are all top notch.",POSITIVE
"May 27, 2020",One of the worst movies I've ever seen. It literally gave my wife and I headaches. We kept waiting for it to get better and it doesn't.,NEGATIVE
"May 27, 2020","Great performance by Adam Sandler.  I have never found his comedies funny, at all.  But his dramas have often been pretty good.  This is a little hard to watch.  Anti-heroes are tough to begin with, but this one includes so much self-destructive behavior that I never found myself rooting for Howard in the least.  But I did want to see what would happen next, which is an important characteristic for a film.",POSITIVE
"May 26, 2020","Nothing happened.  This was such a lackluster movie.  2 hours of my life I will never get back.  I love Adam, he has made some incredible movies...but this one was a total bust.",NEGATIVE
"May 26, 2020","Without question the best acting ever by Adam Sandler but also every single character in this film. It is such a visceral experience, get ready to put on your seatbelt and just go with it.",POSITIVE
"May 26, 2020","A good sign of what's to come is the fact that the first time we see Howard he is getting a colonoscopy. This movie is a two hour assault on the senses, and it's just too much. The constant yelling was very grating. Adam Sandler is channeling Al Pacino in his performance, and his character is not at all likable. I was relieved when it was over. The final Celtics game is pretty tense, but that was really the only part I liked. I will give it this: it's not a movie you can be ambivalent about. You either love it or hate it. And I fall on the latter side.",NEGATIVE
"May 26, 2020","This movie was just really annoying to me. I didn't like Howard, I found him very unlikeable and so were the guys against him. 
The majority of this movie is just Adam Sandler yelling at people with some sort of Jersey accent and the first time the arguing happened it was entertaining but after the 20th tome of the same type of argument and dialogue it got really annoying. 
And the acting wasn't that good. I mean Adam Sandler played the yelling parts extremely well but that short crying scene was honestly cringe worthy.
I wouldn't recommend watching it to be honest, I got nothing about it but 2 hours I could've spent sleeping.",NEUTRAL
"May 26, 2020","Yeah, indeed you feel your head spinning while following this movie, but hey that’s exactly what great movies are supposed to do: make the movie-goers feel all the emotions, immerse themselves into the lives of the characters, and it’s being a while since a movie had made me feel that uncomfortable and anxious. Great job, Sandler. Can’t believe this is the guy behind Click and Zohan.",POSITIVE
"May 26, 2020","A fantastic direction of artistic talent and a excellent portrayal of just how complex the world is, while complimenting the actors roles very proportionally! Great film!",POSITIVE
"May 26, 2020",Garbage language garbage story annoying lead actor; muddled 2 hours of no plot,NEGATIVE
"May 26, 2020","This was incredibly stressful to watch, but wow, I don't think I've ever had such a visceral reaction to a movie before. I'm not sure I'd want to watch this again, but goodness, what an artistic accomplishment. Just an excellent movie.",POSITIVE
"May 26, 2020","Adam Sandler proves that, when given the right material, he is a formidable actor (and this might be his best work), and the Safdie Brothers helm the direction that will tear your nerves to shreads.",POSITIVE
"May 26, 2020","The movie had the most annoying voices I have heard in a long time.
The main character is hideous.",NEGATIVE
"May 26, 2020",Should have just called it over talking the movie.,NEGATIVE
"May 26, 2020",If you like watching people yell at each other while not listening to each other this is for you. This is also the definition of an idiot plot.,NEGATIVE
"May 26, 2020",absolutely love it I was on the edge of my seat half-way true it this guy's are great they take actors I don't really like and make them good.,POSITIVE
"May 26, 2020",There's a whole lot going on. Stay with it. Adam is the best.,NEUTRAL
"May 26, 2020","Adam Sandler doesn't disappoint! For those who think he's only good in comedic roles, I implore you to sit back and prepare to be amazed at the range of this phenomenal actor. I've always been an Adam Sandler fan and have seen every one of his movies in the theater...even the crappy ones and we all know which ones I mean. Back to Uncut Gems, kick-ass movie, kick-ass acting,  great story, WATCH THIS MOVIE!!",POSITIVE
"May 26, 2020","Garbage straight up trash, worst movie I've seen in years. I can't believe this made the theaters. Adam needs to stop making movies, this is very sad.",NEGATIVE
