Date,Review,Score
"Dec 8, 2022",This was one of my favourite movies when I was a kid.,NEUTRAL
"Dec 8, 2022","""Willow"" has its faults (one being that Willow does yell ""Madmartigan!!!"" a lot, lol), but I just couldn't give it a lower score. It was a family favorite when I was a kid, and unlike some things from my child years it still holds up pretty well. For one thing there's that glorious, glorious James Horner score. And also the beautiful scenery- some filmed in New Zealand. Warwick Davis gives an absolutely amazing performance considering he was only 17 or so. And then there's Val Kilmer in one of his many iconic performances. It's just a fun fantasy adventure movie, not too dark or serious.",NEUTRAL
"Dec 7, 2022","Well, it‘s clearly not Lord of the Rings quality, however fairly entertaining eg thanks Val Kilmer.",NEUTRAL
"Dec 7, 2022",love it great fun for all ages,NEUTRAL
"Dec 7, 2022","I loved this movie as a kid and it was my favorite movie for many years.  A great fantasy movie NOT based on LoTR is an achievement.  As an adult, I think the movie still holds up, largely because the acting, writing and humor in the movie are still good.",NEUTRAL
"Dec 7, 2022",Loved it!!!! Feels like Fantasy at its BEST!,NEUTRAL
"Dec 6, 2022","Well unlike the series it was NOT used as a vehicle to force a lesbian ""romance"" into our faces. Also Val Kilmer was the man.",NEUTRAL
"Dec 5, 2022",One of my favorite movies of the 80's.  Too bad the people behind the new series apparently never watched the original film....,NEUTRAL
"Dec 5, 2022","Grande classico! Ainda hoje é divertido e inteligente. Todos os personagens são incriveis. Efeitos, em algumas horas datados, mas não estraga a experiência e diversão.",NEUTRAL
"Dec 5, 2022",I loved Willow. It was easily one of my favorite movies as a kid and I still love it as an adult.,NEUTRAL
"Dec 5, 2022","Legendary, very far from Disney's wokes",NEUTRAL
"Dec 5, 2022",For a Movie of the 80s this has a well deserved cult following. There is enough story telling to have watchers escape into another world and action to keep you on the edge of your seat. The comic relief from the brownies is on point.  This is an easy movie to watch and can take you on a fun adventure in another world.,NEUTRAL
"Dec 5, 2022","I re-watched it after years to refresh my memory ahead of the new TV show.
Now, speaking of ""fantasy"", we are used to something far different (Willow 1988 setting and costume are more like a cheap carnival), but I would say the film has aged fairly well.",NEUTRAL
"Dec 4, 2022","The critics got this wildly wrong.  I re-watched this and it is just as 10 year old me remembered, a cracking adventure romp (fewer pigs than I remember)
It's got a non standard romantic twist, adventure and light hearted humour at points.  Good for kids and adults alike.",NEUTRAL
"Dec 4, 2022",I love Willow. A great fantasy ride.,NEUTRAL
"Dec 4, 2022","Our family has watched this many times.  Hollywood, this is what Great entertainment looks like.",NEUTRAL
"Dec 4, 2022","Good film.
worth a watch.

Keep away from the series.",NEUTRAL
"Dec 4, 2022","This is NOT GOOD so far to say the Least. The Special Effects, the Storyline & Characters I could care less for them. What's the point of this show? 
Why don't you just call it something else instead of Capitalizing on something from the 80's. Disney again misses the mark on what Fans want, why can't you write/produce something amazing? On a scale from 1-10 I give this a 3/10.",NEUTRAL
"Dec 3, 2022",One of my guilty pleasures. A totally underrated movie.,NEUTRAL
"Dec 3, 2022","I watched for nostalgia hoping to be captivated by a story plot line. But was left to be desired. The storyline is not cohesive, they introduced us to characters then shifted focus completely. It's undetermined who the main story focuses on.",NEUTRAL
"Dec 3, 2022",Classic as it gets👍❗️,NEUTRAL
"Dec 3, 2022","A good movie, perfectly age.",NEUTRAL
"Dec 3, 2022",a Classic now. an hidden gem whose cult grew over the years. This movie did not deserve the Disney+ treatment it is getting. Stick with the movie.,NEUTRAL
"Dec 3, 2022","Terrible. The plot is ridiculous, the characters all speak in modern day terms, and it feels cheesy. I love fantasy stories but this one misses the mark. I might enjoy it more if I were 11, but not as an adult. It's a shame, the concept could have been great.",NEUTRAL
"Dec 3, 2022","Cute, adorable fantasy movie.... loved it as a kid, love it as an adult.  The TV series is trash but the movie has withstood the test of time.",NEUTRAL
"Dec 3, 2022",Loved it growing up. Great story telling good imagination,NEUTRAL
"Dec 3, 2022","Loved the original.. Current storyline is predictable and wrapped in self service. Fans want fantasy, not soap opera.",NEUTRAL
"Dec 3, 2022","Funny how this movie gets a lower score than the new Disney show which is total shi.. 
tomato scores are a joke these days..",NEUTRAL
"Dec 3, 2022",Can't believe I never seen this before. Just finished watching and it's fantastic!!!,NEUTRAL
"Dec 3, 2022","It's good and funny in general, a few character like Kit are a little bit annoying, and has a little problem with the pace. But Warwick is very good in it.",NEUTRAL
"Dec 3, 2022",me encanta . en su epoca fue una alternativa al señor de los anillos. pero el toque de Lucas la hizo totalmente fresca e inolvidable. la amo. me emociona cuando la veo.,NEUTRAL
"Dec 2, 2022","Even though the story has room for improvement, Willow does have its rather impressive effects during its time and its star performance from Warwick Davis.",NEUTRAL
"Dec 2, 2022","Absolute classic, better than the junk they make these days",NEUTRAL
"Dec 2, 2022",This was an amazing movie for it's time. It was from the 80s and I find that's when the best fantasy themed action movies were released. They didn't have all the fancy graphics but they had a great story and fantastic acting!,NEUTRAL
"Dec 2, 2022",One of the best fantasy films of my childhood.,NEUTRAL
"Dec 2, 2022",Great original movie,NEUTRAL
