Date,Score,Reviews
"Jul 12, 2023",POSITIVE,"This movie is an example of how to mess with its audience's emotions. This movie quite literally stressed me out and kept me in the edge of my seat the whole time. Adam Sandler truly proves himself as one of the greats with his performance in this movie. Everything about this movie builds up to the stress it conveys by stressing the audience to show the stress of the protagonist. The story was not too complicated, but it kept me smacking my head when the protagonist would do something that is not exactly smart, and yet it shows the desperation and weakness and depravity of humanity. It is truly a great movie and deserves much credit for the performance of the actors and the work of the directors."
"Jun 21, 2023",POSITIVE,Adam sandlers best preformence
"Jun 19, 2023",NEGATIVE,"The score is so hideous and distracting and there is soooo much of it at the start of this movie, I couldn't hear the actors. This is by far the worst score I have ever heard used in a movie since the shitty smooth jazz period of the 1980s and this is worse. It was giving me a migraine I was looking for the remote to turn it off when the hideous score dissolved so I waited for a minute to watch more of it. it got better once the score was gone but every time it came back it was distracting. Not something one should be thinking about while watching a film. Honestly this is the first movie I have ever watched where the score ruined the film."
"Jun 12, 2023",NEUTRAL,"Stressful and seedy and loud-mouthed and unaccountable.  One bad decision after another as an adult man's life circles the bowl for over two hours.  Adam Sandler gives an amazing performance of a character who I hated with every moment.  It ended the only way it could.  Cautionary tale with a lesson that scrupulous people would never need to learn.
No desire to ever see this one again."
"May 24, 2023",POSITIVE,"Never a dull moment to spare, Uncut Gems is constant in suspense. The Safie brothers invite you into a the ugly side of life, handed in a gift basket of threatening dialogue and seedy characters which will leave you on the edge of your seat."
"May 20, 2023",NEGATIVE,eh                                                                                                                            0
"May 11, 2023",POSITIVE,An absolute cinematic masterpiece. Enjoyable experience and a good feeling throughout the movie. It has a strong message about gambling in a gorific way. It has a sad ending though and could have been better.
"May 8, 2023",NEGATIVE,The movie was made to get under your nerve and be as anxiety inducing as possible so ig good job but I don't watch movies to surfer! Actual physical reaction. The mastering of the sound is made to make you suffer. Characters super unlikeable got what he deserved in the end.
"May 7, 2023",NEGATIVE,everyone talks over each other and the background music is extremely loud and the main character is so unlikeable.
"May 6, 2023",POSITIVE,"Incredible film. A must-watch. Adam Sandler's performance is f*cking amazing in this, it was such a tense thrill ride throughout. Some may not like its style and that's fine, but this was nothing short of incredible."
"Apr 30, 2023",NEGATIVE,Utter tripe. Turned off halfway in
"Apr 30, 2023",NEGATIVE,I hate this film. I hate the noIse. Hate the people. No one giving a shit about anyone else. Noisy people who are entitled fcks. Money. Kills everyone. People suck.
"Apr 27, 2023",POSITIVE,"Frenetic and tense the entire way through, the Safdie Brothers once again create a unique piece of cinema that keeps the viewer on edge for its whole runtime, with no break in the tension that is so well done as to not become burdensome. 
Certainly not a family watch, gritty and intense it is sure to polarise, but ultimately it is the Safdies at their best.
Adam Sandler is also superb, coming off some of the most lazy films in cinema (Murder Mystery comes to mind) he proves himself with a performance to match the tone and pace of the film-making and its direction, perfectly reflecting the Safdies' creative vision with a performance to blow his other work out of the water."
"Apr 8, 2023",NEGATIVE,"I think the user rating is perfect on 50 Percent.  It average.  Not horrible, not great.  I don't know why these critics are so out of touch."
